CO2,Country of birth/nationality,VAR,Variable,GEN,Gender,COU,Country,YEA,Year,Value,Flag Codes,Flags
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2019,2019,32630,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2020,2020,24498,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2000,2000,145,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2001,2001,207,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2002,2002,379,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2003,2003,421,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2004,2004,513,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2005,2005,596,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2006,2006,599,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2007,2007,734,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2008,2008,883,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2009,2009,975,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2010,2010,1262,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2011,2011,2073,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2012,2012,2507,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2013,2013,4042,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2014,2014,4351,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2015,2015,4157,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2016,2016,5060,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2017,2017,4361,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2018,2018,2994,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2019,2019,3844,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2020,2020,4681,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2000,2000,31615,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2001,2001,42254,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2002,2002,21644,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2003,2003,16364,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2004,2004,18718,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2005,2005,22379,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2006,2006,23781,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2007,2007,28307,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2008,2008,34494,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2009,2009,33034,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2010,2010,24447,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2011,2011,34567,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2012,2012,44311,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2013,2013,41230,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2014,2014,27274,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2015,2015,22432,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2016,2016,19661,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2017,2017,12552,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2018,2018,15247,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2019,2019,14150,,
NZL,New Zealand,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2020,2020,4718,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2000,2000,865,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2001,2001,1124,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2002,2002,1124,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2003,2003,1030,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2004,2004,1419,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2005,2005,1714,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2006,2006,1577,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2007,2007,1809,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2008,2008,1881,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2009,2009,1972,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2010,2010,1799,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2011,2011,1845,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2012,2012,3891,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2013,2013,3612,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2014,2014,5669,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2015,2015,8019,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2016,2016,6958,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2017,2017,6819,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2018,2018,6286,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2019,2019,4651,,
PAK,Pakistan,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2020,2020,3814,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2000,2000,3604,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2001,2001,3391,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2002,2002,3442,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2003,2003,3633,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2004,2004,4444,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2005,2005,4766,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2006,2006,5404,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2007,2007,6112,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2008,2008,7078,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2009,2009,8904,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2010,2010,10248,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2011,2011,10651,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2012,2012,12777,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2013,2013,11032,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2014,2014,10345,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2015,2015,11942,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2016,2016,11968,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2017,2017,12145,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2018,2018,10916,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2019,2019,9184,,
PHL,Philippines,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2020,2020,8514,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2000,2000,6178,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2001,2001,6813,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2002,2002,7192,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2003,2003,5882,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2004,2004,7132,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2005,2005,5704,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2006,2006,4788,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2007,2007,5378,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2008,2008,6936,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2009,2009,11264,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2010,2010,11098,,
