nationality,Variable,Year,Value
India,Acquisition of Australian Nationality,2017,24181
India,Acquisition of Australian Nationality,2018,17716
India,Acquisition of Australian Nationality,2019,28470
India,Acquisition of Australian Nationality,2020,38209
Viet Nam,Acquisition of Australian Nationality,2008,2177
Viet Nam,Acquisition of Australian Nationality,2009,1522
Viet Nam,Acquisition of Australian Nationality,2010,2000
Viet Nam,Acquisition of Australian Nationality,2011,1688
Viet Nam,Acquisition of Australian Nationality,2012,1929
Viet Nam,Acquisition of Australian Nationality,2013,2568
Viet Nam,Acquisition of Australian Nationality,2014,3514
Viet Nam,Acquisition of Australian Nationality,2015,3835
Viet Nam,Acquisition of Australian Nationality,2016,4173
Viet Nam,Acquisition of Australian Nationality,2017,3859
Viet Nam,Acquisition of Australian Nationality,2018,1216
Viet Nam,Acquisition of Australian Nationality,2019,3501
Viet Nam,Acquisition of Australian Nationality,2020,6804
